Models,Data Source,Model Size(B),Overall,Biology,Business,Chemistry,Computer Science,Economics,Engineering,Health,History,Law,Math,Philosophy,Physics,Psychology,Other
GPT-o1-mini,Self-Reported,unk,0.803,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-4o (2024-11-20),Self-Reported,unk,0.779,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-3.5-Sonnet (2024-10-22),Self-Reported,unk,0.780,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeepSeek-R1,Self-Reported,671,0.840,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doubao-1.5-Pro,Self-Reported,unk,0.801,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen2.5-Max,Self-Reported,unk,0.761,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mistral-Small-base,Self-Reported,24,0.544,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mistral-Small-instruct,Self-Reported,24,0.663,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-2.0-Flash-Lite,Self-Reported,unk,0.716,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-2.0-Flash,Self-Reported,unk,0.776,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-2.0-Pro,Self-Reported,unk,0.791,-,-,-,-,-,-,-,-,-,-,-,-,-,-
azerogpt,Self-Reported,unk,0.6307,0.8215,0.6667,0.508,0.6683,0.7393,0.4828,0.665,0.6693,0.4587,0.6329,0.6212,0.5751,0.7506,0.6591
Grok3-mini-Beta,Self-Reported,unk,0.789,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grok3-Beta,Self-Reported,unk,0.799,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phi-4-mini,Self-Reported,5.6,0.528,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLaDA,Self-Reported,8,0.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLaDA,Self-Reported,8,0.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HunyuanTurboS,Self-Reported,560,0.790,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reka 3,Self-Reported,21,0.650,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma-2-2B-it,Self-Reported,2,0.156,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma-3-1B-it,Self-Reported,1,0.147,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma-3-4B-it,Self-Reported,4,0.436,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma-3-12B-it,Self-Reported,12,0.606,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma-3-27B-it,Self-Reported,27,0.675,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cohere-Aya-Vision,Self-Reported,32,0.472,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mistral-3.1-Small,Sefl-Reported,24,0.668,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-o1,Self-Reported,unk,0.893,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-4.5,Self-Reported,unk,0.861,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunyuan-T1,Self-Reported,389,0.872,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nemotron-H-56B-Base,Self-Reported,56,0.605,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nemotron-H-8B-Base,Self-Reported,8,0.440,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deepseek-V3-0324,Self-Reported,671,0.813,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Llama4-Maverick,Self-Reported,400,0.805,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Llama4-Scout,Self-Reported,109,0.743,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Llama4-Behemoth,Self-Reported,2000,0.828,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-2.5-Pro-Exp-03-25,TIGER-Lab,unk,0.8452,0.9299,0.893,0.8741,0.8556,0.8829,0.7358,0.817,0.7553,0.7244,0.8884,0.8327,0.8831,0.8726,0.8295
Grok-3-mini,Self-Reported,unk,0.830,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-4-mini (high),Self-Reported,unk,0.830,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-3.7-Sonnet-Thinking,Self-Reported,unk,0.840,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-235B-A22B,Self-Reported,235,0.6818,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mimo-7B-base,Self-Reported,7,0.419,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mimo-7B-RL,Self-Reported,7,0.586,-,-,-,-,-,-,-,-,-,-,-,-,-,-
General-Reasoner-7B,Self-Reported,7,0.589,-,-,-,-,-,-,-,-,-,-,-,-,-,-
General-Reasoner-14B,Self-Reported,14,0.666,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phi-4-reasoning,Self-Reported,14,0.743,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phi-4-reasoning-plus,Self-Reported,14,0.760,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-o3-mini,Self-Reported,unk,0.794,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECHO_Ego_v2_14B,Self-Reported,14,0.7124,0.8396,0.7807,0.7624,0.739,0.7642,0.5641,0.6993,0.6063,0.4069,0.8764,0.6152,0.8014,0.7419,0.671
Hunyuan-A13B,Self-Reported,80,0.673,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERNIE-4.5-21B-A3B-Base,Self-Reported,21,0.567,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERNIE-4.5-300B-A47B-Base,Self-Reported,300,0.695,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERNIE-4.5-300B-A47B,Self-Reported,300,0.784,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MiniMax-M1,Self-Reported,456,0.811,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed-Thinking-v1.5,Self-Reported,200,0.870,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kimi-K2-Instruct,Self-Reported,1000,0.810,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4-Sonnet,Self-Reported,unk,0.837,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-4.1,Self-Reported,unk,0.818,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Intern-S1,Self-Reported,235,0.835,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeepSeek-R1-0528,Self-Reported,671,0.834,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4-Opus-Thinking,Self-Reported,unk,0.873,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grok-4,Self-Reported,unk,0.870,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-2.5-Pro,Self-Reported,unk,0.860,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-o3-high,Self-Reported,unk,0.850,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed1.6-Ada-Thinking,Self-Reported,200,0.864,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GLM-4.5,Self-Reported,355,0.846,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GLM-4.5-Air,Self-Reported,106,0.814,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-235B-A22B-Instruct-2507,Self-Reported,235,0.830,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-235B-A22B-Thinking-2507,Self-Reported,235,0.845,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-30B-A3B-Thinking,Self-Reported,30,0.785,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-30B-A3B-Thinking-2507,Self-Reported,30,0.809,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-oss-20B(medium),TIGER-Lab,20,0.7314,0.8536,0.7997,0.8083,0.8244,0.8057,0.5635,0.7347,0.5958,0.3978,0.9149,0.5992,0.8306,0.7368,0.6602
GPT-oss-20B(high),Self-Reported,20,0.736,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-oss-120B(high),Self-Reported,120,0.808,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-5(high),Self-Reported,unk,0.871,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed-OSS-36B-Instruct,Self-Reported,36,0.827,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed1.6-Thinking,Self-Reported,200,0.866,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed1.6-Base,Self-Reported,200,0.866,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed-OSS-36B-Base(w/ syn.),Self-Reported,36,0.651,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed-OSS-36B-Base(w/o syn.),Self-Reported,36,0.604,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeepSeek-V3.1-NonThinking,Self-Reported,671,0.837,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeepSeek-V3.1-Thinking,Self-Reported,681,0.848,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LongCat-Flash-Chat,Self-Reported,560,0.827,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-397B-A17B,Self-Reported,397,0.878,-,-,-,-,-,-,-,-,-,-,-,-,-,-
K2.5-1T-A32B,Self-Reported,1000,0.871,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-3-Pro(11/25),Self-Reported,unk,0.901,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-5.2,Self-Reported,unk,0.874,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-5.1,Self-Reported,unk,0.864,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-Max-Thinking,Self-Reported,unk,0.857,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4.5-Opus(Thinking),Self-Reported,unk,0.873,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4.5-Sonnet(Thinking),Self-Reported,unk,0.874,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4.6-Opus(Thinking),Self-Reported,unk,0.891,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-3-Flash(12/25),Self-Reported,unk,0.886,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MiniMax-M2,Self-Reported,229,0.820,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MiniMax-M2.1,Self-Reported,229,0.880,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MiniMax-M2.5,Self-Reported,229,0.801,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GLM-5,Self-Reported,754,0.860,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeepSeek-V3.2-Thinking,Self-Reported,685,0.850,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed2.0-Pro,Self-Reported,unk,0.870,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed2.0-Lite,Self-Reported,unk,0.877,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seed2.0-Mini,Self-Reported,unk,0.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nemotron-3-Nano-30B-A3B(BF16),Self-Reported,30,0.783,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nemotron-3-Nano-30B-A3B(FP8),Self-Reported,30,0.781,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nemotron-3-Nano-30B-A3B-Base,Self-Reported,30,0.651,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3-30B-A3B-Base,Self-Reported,30,0.617,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-3.1-Pro,TIGER-Lab,unk,0.9116,0.9582,0.9328,0.9214,0.9366,0.9336,0.8733,0.8619,0.8556,0.8564,0.9548,0.9038,0.9320,0.9185,0.8929
Qwen3.5-122B-A10B,Self-Reported,122,0.867,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-27B,Self-Reported,27,0.861,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-35B-A3B,Self-Reported,35,0.853,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NewenAI/Phi4-sft,Self-Reported,14,0.577,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-0.8B,Self-Reported,0.8,0.297,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-2B,Self-Reported,2,0.553,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-4B,Self-Reported,4,0.791,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen3.5-9B,Self-Reported,9,0.825,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPT-5.4,Self-Reported,unk,0.875,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemini-3.1-Flash-Lite-Preview,Self-Reported,unk,0.862,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude-4.6-Sonnet(Thinking),Self-Reported,unk,0.873,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grok-4.1-Fast(Reasoning),Self-Reported,unk,0.842,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grok-4.1-Fast(Non-Reasoning),Self-Reported,unk,0.752,-,-,-,-,-,-,-,-,-,-,-,-,-,-
